JP,EN
眠たい,sleepy-eyed
眠たい,sleepyheaded
眠たい,sleepy
夜,n.; at night; night
もつ,Offal
駅,station
元気,bouncy
元気,enlivened
元気,peppy
元気,bouncing
元気,energetic
元気,zippy
元気,spirited
元気,cheerful
元気,vigorous
どこ,Where
今日,present
今日,today
今日,nowadays
時,hour; h.; hora; time
良い,well
良い,right
良い,fine
良い,beautiful
良い,unspoiled
良い,correct
良い,unspoilt
良い,good
良い,undecomposed
良い,stunning
鍋,cauldron
鍋,hot pot
鍋,caldron
鍋,pan
鍋,cooking pan
鍋,pot
鍋,hotpot
会う,encounter
会う,come over
会う,meet
会う,come across
会う,run into
会う,run across
会う,see
会う,get together
食べる,survive
食べる,exist
食べる,live
食べる,feed
食べる,eat
食べる,subsist
時, hora
時,hour
時, h.
時, time
夜, at night
夜, night
夜,n.
